original_filename,new_filename,class,view,condition
fishing_boat_aerial_0001.jpg,FISHING_AERIAL_DAY_0001.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0002.jpg,FISHING_AERIAL_DAY_0002.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0003.jpg,FISHING_AERIAL_DAY_0003.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0004.jpg,FISHING_AERIAL_DAY_0004.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0005.jpg,FISHING_AERIAL_DAY_0005.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0006.jpg,FISHING_AERIAL_DAY_0006.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0007.jpg,FISHING_AERIAL_DAY_0007.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0008.jpg,FISHING_AERIAL_DAY_0008.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0009.jpg,FISHING_AERIAL_DAY_0009.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0010.jpg,FISHING_AERIAL_DAY_0010.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0011.jpg,FISHING_AERIAL_DAY_0011.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0012.jpg,FISHING_AERIAL_DAY_0012.jpg,FISHING,AERIAL,DAY
fishing_boat_aerial_0013.jpg,FISHING_AERIAL_DAY_0013.jpg,FISHING,AERIAL,DAY
fishing_boat_difficult_0001.jpg,FISHING_UNK_UNK_0014.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0002.jpg,FISHING_UNK_UNK_0015.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0003.jpg,FISHING_UNK_UNK_0016.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0004.jpg,FISHING_UNK_UNK_0017.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0005.jpg,FISHING_UNK_UNK_0018.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0006.jpg,FISHING_UNK_UNK_0019.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0007.jpg,FISHING_UNK_UNK_0020.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0008.jpg,FISHING_UNK_UNK_0021.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0009.jpg,FISHING_UNK_UNK_0022.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0010.jpg,FISHING_UNK_UNK_0023.jpg,FISHING,UNK,UNK
fishing_boat_difficult_0011.jpg,FISHING_UNK_UNK_0024.jpg,FISHING,UNK,UNK
